no_pipeline,makespan,readtime,writetime
1,58.38100004196167,9.6489999294281,35.22000002861023
2,147.68299984931946,29.501999855041504,91.40499997138977
3,290.6159996986389,58.9549994468689,189.10700011253357
4,426.42199969291687,93.43300080299377,277.8619999885559
5,621.5130000114441,143.21300077438354,409.1489999294281
6,924.5399997234344,203.8379991054535,633.8980000019073
7,1218.800000667572,274.51200103759766,844.64399933815
8,1532.1930010318756,356.8310010433197,1059.8300006389618
9,1876.5389993190765,445.8539996147156,1297.880000114441
10,2286.9560005664825,537.7240009307861,1602.3039991855621
11,2667.6799988746643,646.6269991397858,1861.2820003032684
12,3381.619999885559,766.7660005092621,2436.1009998321533
13,3877.2319991588593,898.9530000686646,2790.238000392914
14,4326.953999042511,1048.2049992084503,3072.463000059128
15,4913.115998983383,1198.7759988307953,3491.833000421524
16,5846.893000125885,1353.864999294281,4257.690001249313
17,6381.0450003147125,1534.9199998378754,4588.525999307632
18,7187.335000038147,1720.5610001087189,5191.0509996414185
19,8117.75600028038,1922.5700006484985,5906.203001022339
20,9113.228999853134,2119.725998878479,6695.022000074387
21,9936.316999435425,2335.2140007019043,7283.974998950958
22,10528.502999067307,2557.6049978733063,7647.850000858307
23,11644.207000255585,2800.692001104355,8498.156000852585
24,12456.909999132156,3038.643999814987,9059.512998819351
25,13481.490998744965,3331.0279989242554,9764.468000650406
26,14388.335999965668,3582.494998693466,10408.011000394821
27,15679.941999673843,3862.8049988746643,11407.377999305725
28,16648.581000328064,4150.373000621796,12072.901000261307
29,17914.47400045395,4465.57800078392,12997.926999807358
30,18917.44700074196,4749.691001176834,13696.913001298904
31,17459.18600010872,5075.652000427246,11910.63100028038
32,22087.541999578476,5756.331999540329,15786.18500161171
