no_pipeline,makespan,readtime,writetime
1,23.67199993133545,7.705000162124634,2.9200000762939453
2,59.16100001335144,25.812000274658203,6.366000175476074
3,104.78900003433228,54.26600003242493,10.110999822616577
4,162.99900007247925,93.47300052642822,14.122999906539917
5,230.98600053787231,142.91800045967102,17.848999500274658
6,311.65100026130676,204.0180003643036,21.695000171661377
7,402.8990001678467,274.96999955177307,25.966000080108643
8,504.70599913597107,355.699999332428,36.26499938964844
9,626.6299998760223,445.4890010356903,50.79299998283386
10,747.7550008296967,536.2499997615814,63.7049994468689
11,939.4170014858246,646.4510018825531,129.47699999809265
12,1381.5940008163452,768.8570008277893,433.71099972724915
13,1925.3340003490448,898.2090003490448,834.1850006580353
14,2385.9329991340637,1042.337998867035,1137.3530008792877
15,2807.156999349594,1191.1499989032745,1391.1449992656708
16,3346.540999650955,1357.1240003108978,1748.9829998016357
17,3900.3059990406036,1535.9190003871918,2108.1340012550354
18,4450.461998939514,1721.7289986610413,2451.262000799179
19,5202.021998882294,1923.5179982185364,2982.9030017852783
20,5914.351000070572,2113.044999599457,3491.946000099182
21,6689.994000673294,2333.4610011577606,4036.18000125885
22,7887.519999742508,2579.8419992923737,4963.745000362396
23,8404.8210003376,2812.8979997634888,5230.515000581741
24,9426.254999399185,3053.985999107361,5994.926998615265
25,9842.934999704361,3293.6459980010986,6152.988999605179
26,11131.713001728058,3580.0680029392242,7140.357999324799
27,11805.224999904633,3845.3289997577667,7541.604001283646
28,13081.239999055862,4153.804997682571,8487.627000331879
29,13183.81200003624,4428.357000827789,8299.337999105453
30,15066.546000957489,4753.622000694275,9841.202998399734
31,15802.996001005173,5060.84099984169,10251.594999551773
32,16732.116000652313,5366.296999931335,10862.660001039505
