no_pipeline,makespan,readtime,writetime
1,23.740000009536743,7.696999788284302,2.951000213623047
6,312.24900007247925,203.59699988365173,21.889000177383423
7,402.31400084495544,274.67300057411194,26.36299991607666
8,505.22699999809265,357.24400067329407,31.011000156402588
9,616.5060002803802,449.1199998855591,35.861000537872314
10,739.9400000572205,540.2059996128082,51.789000511169434
11,975.1020002365112,648.4740002155304,164.98999953269958
12,1360.3650002479553,769.6999998092651,410.9080002307892
13,1895.034999847412,902.5660014152527,795.7590003013611
14,2417.094000339508,1043.4179990291595,1165.099999666214
15,2871.5150003433228,1195.646000623703,1450.1289992332458
16,3411.058000087738,1365.698001384735,1802.9640004634857
21,7222.2349989414215,2346.23099899292,4547.827999353409
26,11423.84199976921,3581.3040001392365,7436.990999221802
31,16326.717999696732,5050.240998744965,10783.909999847412
