no_pipeline,makespan,readtime,writetime
1,51.90967741937435,19.354838709687158,19.35483870968719
2,181.23870967749716,77.41935483874852,77.41935483874862
3,387.98709677436904,174.1935483871847,174.19354838718436
4,672.1548387099882,309.6774193549937,309.67741935499447
5,1033.7419354843541,483.87096774217713,483.8709677421769
6,1472.748387097476,696.7741935487389,696.774193548737
7,1989.1741935493396,948.3870967746711,948.3870967746684
8,2583.0193548399516,1238.7096774199736,1238.709677419978
9,3254.2838709693165,1567.7419354846572,1567.741935484659
10,4002.967741937418,1935.4838709687092,1935.4838709687092
11,4829.070967744309,2341.9354838721542,2341.9354838721542
12,5732.593548389901,2787.0967741949553,2787.0967741949485
13,6713.535483874296,3270.967741937142,3270.9677419371537
14,7771.896774197365,3793.5483870986836,3793.5483870986786
15,8907.677419359268,4354.838709679642,4354.8387096796305
16,10120.877419359813,4954.838709679896,4954.83870967991
17,11411.496774199086,5593.548387099549,5593.548387099545
18,12779.535483877258,6270.967741938626,6270.967741938637
19,14224.993548394124,6987.096774197053,6987.0967741970535
20,15747.87096774968,7741.935483874839,7741.9354838748395
21,17348.167741944046,8535.483870972017,8535.48387097203
22,19025.883870977224,9367.74193548862,9367.74193548862
23,20781.019354849133,10238.70967742455,10238.709677424584
24,22613.57419355962,11148.387096779818,11148.387096779796
25,24523.548387108996,12096.774193554505,12096.774193554515
26,26510.941935497187,13083.870967748553,13083.8709677486
27,28575.754838723857,14109.677419361911,14109.6774193619
28,30717.987096789482,15174.193548394735,15174.193548394727
29,32937.63870969396,16277.419354846958,16277.419354846981
30,35234.70967743707,17419.35483871855,17419.35483871851
31,37609.20000001887,18600.00000000941,18600.000000009524
32,40061.10967743923,19819.354838719584,19819.354838719635
