no_pipeline,makespan,readtime,writetime
1,52.47800016403198,9.393000364303589,30.03000020980835
2,153.9619996547699,30.161999464035034,94.98599982261658
3,338.9739999771118,70.90699934959412,225.07999968528748
4,501.4630000591278,118.51100063323975,324.58500027656555
5,735.1750001907349,180.95799946784973,482.4250009059906
6,1167.5179998874664,255.56499981880188,823.8430001735687
7,1478.7750000953674,351.6770005226135,1024.523999929428
8,2207.680999517441,507.5389997959137,1580.8860001564026
9,3117.9000000953674,614.5439999103546,2362.763000011444
10,3884.7899997234344,930.5320000648499,2802.0069999694824
11,4473.29400062561,1005.5919997692108,3298.964000940323
12,4962.002000570297,1281.1370012760162,3494.739000082016
13,6111.258000135422,1697.981999874115,4214.243999958038
14,6800.499000072479,1657.6710000038147,4930.3310005664825
15,8840.89199924469,2053.0859990119934,6550.493998527527
16,8854.301998853683,2406.3929998874664,6188.091999530792
17,9794.892000198364,2582.117000102997,6946.775999307632
18,11519.661999940872,3122.62299990654,8088.869999408722
19,13278.365999698639,3438.1080000400543,9528.02199959755
20,14273.742000341415,3785.730000257492,10143.172999382019
21,16341.424000740051,4321.515000343323,11651.670000076294
22,17447.600999116898,4114.490999221802,12949.13799905777
23,21790.136001348495,5470.752999544144,15918.936001777649
24,21836.160999536514,5259.996999263763,16185.976999282837
25,22449.947999238968,5996.221999645233,16020.29200053215
26,24318.414000034332,5155.542000055313,18690.566998958588
27,26813.567999839783,6397.117998600006,19912.674999952316
28,26934.2539999485,5928.776998281479,20502.412002325058
29,29856.008999347687,6947.491999387741,22377.247000455856
30,28393.64800095558,6886.125999927521,20991.945002555847
31,32760.742999076843,7631.436000108719,24608.14499926567
32,35271.237000226974,7960.141999006271,26748.59599995613
