no_pipeline,makespan,readtime,writetime
1,53.87140058789761,20.33530944113985,20.336091146757767
2,189.07467467518606,81.33655449714362,81.3381201780424
3,405.60982128433517,183.0037347769991,183.006086507336
4,703.4768405973751,325.3368502672266,325.3399903301482
5,1082.6757287086868,508.3358990172643,508.33982969142284
6,1543.2064975508365,732.000887094519,732.0056104563175
7,2085.0691379755276,996.3318098473158,996.337328128212
8,2708.2636328793897,1301.328658579021,1301.3349743003687
9,3412.7900395388183,1646.9914624132298,1646.9985771255892
10,4198.648276812252,2033.3201800915208,2033.3280967207295
11,5065.838422261466,2460.314851052081,2460.3235712093838
12,6014.3604150303145,2927.97544435111,2927.9849706792033
13,7044.21427381313,3436.301969494209,3436.312304318921
14,8155.400002985254,3985.294428706126,3985.305574279134
15,9347.917674142145,4574.952858391315,4574.964815750825
16,10621.767123409652,5205.277175223938,5205.289948185708
17,11976.948521026035,5876.267465765821,5876.281055260217
18,13413.461709480987,6587.923649927021,6587.938059553971
19,14931.306878502819,7340.245824179493,7340.2610543233295
20,16530.4839107545,8133.233928860401,8133.249981894087
21,18210.99265349865,8966.887886306646,8966.904767192005
22,19972.83345039405,9841.207871259967,9841.225579134098
23,21816.006089835897,10756.193776124699,10756.212313711185
24,23740.510395222027,11711.8455111032,11711.864884118848
25,25746.34673805384,12708.163265094385,12708.18347295948
26,27833.515181176,13745.147070053186,13745.168111122808
27,30002.015299788603,14822.796709979739,14822.81858980888
28,32251.847225945334,15941.112252019919,15941.13497392546
29,34583.01087174299,17100.093651477117,17100.117220265878
30,36995.50654384946,18299.74106428425,18299.765479565165
31,39489.334308290636,19540.054524013864,19540.07978427676
32,42064.49388107224,20821.03388626199,20821.05999481026
