no_pipeline,makespan,readtime,writetime
1,42.59925591467624,9.063164773646871,20.33609114102937
2,143.957473753087,36.2193535644923,81.3381201885947
3,304.0746526314607,81.46856634453862,183.00608628692208
4,522.9507927101124,144.81080291115865,325.3399897989537
5,800.5858936966292,226.24606322754067,508.3398304690884
6,1136.9799611730339,325.77434892421365,732.0056122488198
7,1532.1329851595508,443.3956572159218,996.3373279436287
8,1986.0449669213485,579.1099884486183,1301.3349784727302
9,2498.715933997753,732.9173496116227,1646.9985843861302
10,3070.1458231235956,904.8177251024451,2033.3280980211514
11,3700.334715494383,1094.811133151513,2460.323582342869
12,4389.282541941573,1302.897560479299,2927.984981462274
13,5136.989325905618,1529.0770083927791,3436.312317512839
14,5943.4550686157345,1773.3494842503414,3985.305584365389
15,6808.679778674159,2035.714983449275,4574.964795224884
16,7732.663465024716,2316.1735088477258,5205.289956176996
17,8715.40605594607,2614.725045332748,5876.281010613321
18,9756.907702179778,2931.369615916136,6587.938086263641
19,10857.168206784272,3266.107210578118,7340.260996206157
20,12016.187806247197,3618.9378600890086,8133.2499461581865
21,13233.966283402251,3989.8614840494706,8966.904799352771
22,14510.503650710109,4378.8781428422535,9841.225507867859
23,18627.96117344945,7569.547146961737,10754.814026487686
24,17411.69713477527,6110.2866824265375,10984.610452348743
25,19317.33076170656,7255.761798292979,11731.56896341359
26,21504.310664229208,8481.172697098573,12679.937967130663
27,24010.224928447205,9774.759533821725,13879.065394625464
28,26798.199569003613,11135.752920271056,15292.84664873253
29,29463.93053223593,12177.36683960294,16903.763692633027
30,31944.859819483125,13249.094047110279,18299.765772372866
31,34096.35800742467,14147.078479344582,19540.079528080096
32,36317.96509432806,15074.5051838939,20821.059910434185
