no_pipeline,makespan,readtime,writetime
1,47.70900011062622,5.255000114440918,29.414999961853027
2,124.33900022506714,13.243000030517578,82.92000007629395
3,256.78399991989136,33.448999643325806,181.25
4,462.3999996185303,54.30500054359436,351.10700011253357
5,684.6970000267029,65.2059998512268,549.4090006351471
6,952.0490000247955,119.40900039672852,747.3040001392365
7,1292.5549998283386,161.65199995040894,1029.454999923706
8,1642.6780009269714,188.0719997882843,1338.4780008792877
9,2402.606999874115,309.5329988002777,1960.5830008983612
10,2545.0039994716644,425.82599997520447,1971.0480000972748
11,3545.4960005283356,514.4430000782013,2867.1079998016357
12,4202.130999803543,689.7560000419617,3333.6649997234344
13,5225.485999822617,665.3660008907318,4368.121999740601
14,6595.451999902725,854.2539992332458,5530.732000350952
15,6893.838997840881,828.2519998550415,5843.080998420715
16,7026.567999601364,1250.081999540329,5537.141998767853
17,7751.465000629425,1252.0590000152588,6238.889000177383
18,9097.13600063324,1292.080998659134,7527.706000089645
19,10060.175999403,1790.8919985294342,7978.2880001068115
20,11555.809000492096,1712.2229976654053,9534.00099992752
21,13602.084999322891,1926.8179993629456,11339.997999429703
22,14402.788999319077,2206.2679994106293,11854.209999799728
23,14792.33299946785,2340.0400002002716,12085.426000118256
24,15719.967000961304,1915.7919998168945,13425.543001174927
25,14757.47700047493,2604.9570031166077,11760.068999528885
26,16682.831999778748,3955.307999610901,12305.932000637054
27,18974.561999559402,2476.730001449585,16061.034998893738
28,17528.819000720978,2514.037001848221,14570.065000295639
29,19058.910000801086,2722.9749989509583,15881.654000520706
30,22706.325998544693,4403.285001993179,17779.373999357224
31,24153.938998937607,4719.914002656937,18915.44099998474
32,21471.358000278473,4203.487999916077,16735.24600148201
