no_pipeline,makespan,readtime,writetime
1,24.49032258064664,8.387096774194088,2.9032258064525553
2,71.56129032258531,33.54838709677635,11.61290322580895
3,141.21290323935486,75.4838709735513,26.129032265803524
4,233.44516129032436,134.1935483871142,46.45161290321016
5,348.2580645161369,209.67741935484682,72.5806451612902
6,485.65161280517304,301.93548382452786,104.51612898064526
7,645.625808453011,410.9677439361451,142.25806451686572
8,828.1806451612972,536.7741935415262,185.806451619771
9,1088.80614122,679.354835512311,290.6513057076893
10,1454.2437738421547,838.7096772796026,483.53409656255246
11,1888.0912596162439,1014.8387143743535,728.0525452418904
12,2330.1433270078614,1194.508668441113,977.2346585667483
13,2738.3231503753864,1390.6346897490794,1176.0884606263069
14,3284.425168038398,1617.2508324515925,1482.3743355868066
15,3870.1560773487263,1859.3058428338488,1812.8502345148768
16,4628.581726459898,2111.5663972352695,2305.8153292246275
17,5432.672507312702,2410.9071543064606,2797.3653530062365
18,6278.019124614415,2678.79340081074,3361.6257238036774
19,6993.759093466685,2976.6847165535974,3766.274376913086
20,7682.46850827335,3237.5186678904274,4180.949840382923
21,8748.649175429147,3627.3525575832036,4844.0966178459485
22,9029.98972888174,3723.5497746498786,5016.0399542318555
23,10024.058159454757,4151.717447367553,5568.740712087202
24,11279.815446668723,4772.263394883817,6190.752051784908
25,12482.26095522366,5060.623522205541,7091.637433018131
26,13815.809242354326,5590.38549698612,7882.223745368205
27,14601.78942467874,5861.492176605328,8383.897248073406
28,16791.1287458041,5954.289368900278,10467.239376903819
29,17201.391420123684,6652.479174303179,10166.112245820497
30,18549.907055575615,7018.1605962084595,11135.746459367143
31,19748.733813789706,7602.433270484148,11737.10054330557
32,21384.6241038811,8212.039789033428,12750.184314848626
