no_pipeline,makespan,readtime,writetime
1,40.02967741935484,19.35483870967786,19.354838709676983
2,157.47870967741983,77.41935483871123,77.41935483870861
3,352.3470967741936,174.19354838710018,174.19354838709336
4,624.6348387096773,309.67741935484486,309.6774193548324
5,974.3419354838712,483.87096774193964,483.8709677419314
6,1401.4683870967738,696.7741935483948,696.7741935483795
7,1906.0142056967743,948.3871028709781,948.3871028257963
8,2487.9793548387097,1238.7096774193687,1238.709677419341
9,3147.3638510516134,1567.7419253806593,1567.7419256709538
10,3884.167741935484,1935.483870967757,1935.4838709677267
11,4698.3909975247325,2341.935498916149,2341.935498608583
12,5590.033548387095,2787.096774193571,2787.0967741935237
13,6559.095442103228,3270.9677208839003,3270.9677212193283
14,7605.576709161282,3793.5483545806787,3793.548354580611
15,8729.47741935484,4354.838709677453,4354.838709677387
16,9930.797419354842,4954.838709677457,4954.838709677376
17,11209.536846251609,5593.54842318069,5593.548423070916
18,12565.695644593548,6270.967822761348,6270.967821832199
19,13999.27366855698,6987.096834176408,6987.096834380582
20,15510.270967741955,7741.935483871024,7741.935483870908
21,17098.68785181289,8535.483925974273,8535.483925838627
22,18764.52354953119,9367.74177462373,9367.741774907448
23,20507.779662741945,10238.709831148462,10238.709831593462
24,22328.45419354842,11148.387096774277,11148.387096774102
25,24226.548387096773,12096.77419354848,12096.774193548292
26,26202.06249518279,13083.871248989337,13083.871246193416
27,28254.99520260003,14109.677601561398,14109.67760103858
28,30385.346836163426,15174.193417840967,15174.19341832247
29,32593.118222602137,16277.419109929142,16277.419112672966
30,34878.309677419325,17419.354838709845,17419.354838709543
31,37240.91999999998,18600.000000000146,18599.999999999854
32,39680.94967741937,19819.354838709827,19819.35483870948
