no_pipeline,makespan,readtime,writetime
1,55.63122071201761,20.315311547135558,20.315323714882044
2,184.87110534193624,77.43503270029498,77.43490174164127
3,393.3901225874192,174.2029642598131,174.18540197760615
4,679.2773948790692,309.67706841107014,309.59798466799907
5,1042.5147088576405,483.85427600495484,483.65750560268555
6,1482.9689002328876,696.7238753371563,696.2415121957312
7,2000.6073573932335,948.2862470274555,947.3170122157778
8,2595.2745257047327,1238.5429666075543,1236.7268754971785
9,3266.7975637081145,1567.4709528603184,1564.321341797796
10,4015.1136866319794,1935.1023174510237,1930.0055146809548
11,4839.908103890736,2341.3743466754468,2333.527317265289
12,5741.14157315159,2786.361927548799,2774.7726202027934
13,6718.892907764403,3270.0265693904335,3253.8587275239693
14,7772.178774940981,3792.30480777729,3769.8657708636892
15,8901.121279875624,4353.258607887668,4322.853890237956
16,10105.486040091824,4952.882352090819,4912.594320801007
17,11384.966262424303,5591.192898738899,5538.763411035405
18,12739.264520358138,6268.174693697809,6201.079288560336
19,14168.965486104376,6983.756814829704,6900.197547724673
20,15671.884413580377,7738.026114215796,7633.846590364577
21,17248.407195888976,8530.914330064641,8402.480571374339
22,18897.99057090379,9362.318640097792,9205.659050905997
23,20620.801882203104,10232.595551528086,10043.19286532502
24,22424.536009837753,11141.524126195996,10922.99783284176
25,24324.776206787574,12089.562087935617,11860.199482601973
26,26302.528720755607,13076.479554597543,12836.033944458066
27,28357.276466435316,14101.945583073924,13850.315076211382
28,30489.217293799673,15166.088597116652,14903.11230408301
29,32698.54512083627,16269.010265949948,15994.517876836326
30,34984.74141417067,17410.41868455035,17124.305166120328
31,37348.99828794681,18590.91033147776,18293.069807519074
32,39789.32826306969,19809.545431122788,19499.76409754688
