time, total_mem, dirty, cache, used_mem
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
43.010753, 268000.000000, 0.000000, 20000.000000, 40000.000000
74.121864, 268000.000000, 0.000000, 20000.000000, 40000.000000
80.573477, 268000.000000, 20000.000000, 40000.000000, 60000.000000
80.573477, 268000.000000, 20000.000000, 40000.000000, 40000.000000
87.025090, 268000.000000, 20000.000000, 40000.000000, 60000.000000
118.136201, 268000.000000, 20000.000000, 40000.000000, 60000.000000
124.587814, 268000.000000, 40000.000000, 60000.000000, 80000.000000
124.587814, 268000.000000, 40000.000000, 60000.000000, 60000.000000
131.039427, 268000.000000, 40000.000000, 60000.000000, 80000.000000
162.150538, 268000.000000, 20000.000000, 60000.000000, 80000.000000
168.602151, 268000.000000, 40000.000000, 80000.000000, 100000.000000
