time, total_mem, dirty, cache, used_mem
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
5.000000, 268000.000000, 0.000000, 2400.000000, 4700.000000
5.000000, 268000.000000, 0.000000, 2400.000000, 4700.000000
10.000000, 268000.000000, 0.000000, 4700.000000, 9300.000000
10.000000, 268000.000000, 0.000000, 4700.000000, 9300.000000
15.000000, 268000.000000, 0.000000, 7000.000000, 13900.000000
15.000000, 268000.000000, 0.000000, 7000.000000, 13900.000000
20.000000, 268000.000000, 0.000000, 9300.000000, 18500.000000
20.000000, 268000.000000, 0.000000, 9300.000000, 18500.000000
25.000000, 268000.000000, 0.000000, 11700.000000, 23300.000000
25.000000, 268000.000000, 0.000000, 11700.000000, 23300.000000
30.000000, 268000.000000, 0.000000, 14000.000000, 27900.000000
30.000000, 268000.000000, 0.000000, 14000.000000, 27900.000000
35.000000, 268000.000000, 0.000000, 16300.000000, 32500.000000
35.000000, 268000.000000, 0.000000, 16300.000000, 32500.000000
40.000000, 268000.000000, 0.000000, 18600.000000, 37100.000000
40.000000, 268000.000000, 0.000000, 18600.000000, 37100.000000
43.010753, 268000.000000, 0.000000, 20000.000000, 40000.000000
45.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
45.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
50.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
50.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
55.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
55.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
60.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
60.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
65.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
65.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
70.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
70.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
71.010753, 268000.000000, 0.000000, 20000.000000, 40000.000000
71.031534, 268000.000000, 100.000000, 20100.000000, 40100.000000
71.052315, 268000.000000, 200.000000, 20200.000000, 40200.000000
71.073097, 268000.000000, 300.000000, 20300.000000, 40300.000000
71.093878, 268000.000000, 400.000000, 20400.000000, 40400.000000
71.114660, 268000.000000, 500.000000, 20500.000000, 40500.000000
71.135441, 268000.000000, 600.000000, 20600.000000, 40600.000000
71.156222, 268000.000000, 700.000000, 20700.000000, 40700.000000
71.177004, 268000.000000, 800.000000, 20800.000000, 40800.000000
71.197785, 268000.000000, 900.000000, 20900.000000, 40900.000000
71.218566, 268000.000000, 1000.000000, 21000.000000, 41000.000000
71.239348, 268000.000000, 1100.000000, 21100.000000, 41100.000000
71.260129, 268000.000000, 1200.000000, 21200.000000, 41200.000000
71.280911, 268000.000000, 1300.000000, 21300.000000, 41300.000000
71.301692, 268000.000000, 1400.000000, 21400.000000, 41400.000000
71.322473, 268000.000000, 1500.000000, 21500.000000, 41500.000000
71.343255, 268000.000000, 1600.000000, 21600.000000, 41600.000000
71.364036, 268000.000000, 1700.000000, 21700.000000, 41700.000000
71.384818, 268000.000000, 1800.000000, 21800.000000, 41800.000000
71.405599, 268000.000000, 1900.000000, 21900.000000, 41900.000000
71.426380, 268000.000000, 2000.000000, 22000.000000, 42000.000000
71.447162, 268000.000000, 2100.000000, 22100.000000, 42100.000000
71.467943, 268000.000000, 2200.000000, 22200.000000, 42200.000000
71.488724, 268000.000000, 2300.000000, 22300.000000, 42300.000000
71.509506, 268000.000000, 2400.000000, 22400.000000, 42400.000000
71.530287, 268000.000000, 2500.000000, 22500.000000, 42500.000000
71.551069, 268000.000000, 2600.000000, 22600.000000, 42600.000000
71.571850, 268000.000000, 2700.000000, 22700.000000, 42700.000000
71.592631, 268000.000000, 2800.000000, 22800.000000, 42800.000000
71.613413, 268000.000000, 2900.000000, 22900.000000, 42900.000000
71.634194, 268000.000000, 3000.000000, 23000.000000, 43000.000000
71.654975, 268000.000000, 3100.000000, 23100.000000, 43100.000000
71.675757, 268000.000000, 3200.000000, 23200.000000, 43200.000000
71.696538, 268000.000000, 3300.000000, 23300.000000, 43300.000000
71.717320, 268000.000000, 3400.000000, 23400.000000, 43400.000000
71.738101, 268000.000000, 3500.000000, 23500.000000, 43500.000000
71.758882, 268000.000000, 3600.000000, 23600.000000, 43600.000000
71.779664, 268000.000000, 3700.000000, 23700.000000, 43700.000000
71.800445, 268000.000000, 3800.000000, 23800.000000, 43800.000000
71.821227, 268000.000000, 3900.000000, 23900.000000, 43900.000000
71.842008, 268000.000000, 4000.000000, 24000.000000, 44000.000000
71.862789, 268000.000000, 4100.000000, 24100.000000, 44100.000000
71.883571, 268000.000000, 4200.000000, 24200.000000, 44200.000000
71.904352, 268000.000000, 4300.000000, 24300.000000, 44300.000000
71.925133, 268000.000000, 4400.000000, 24400.000000, 44400.000000
71.945915, 268000.000000, 4500.000000, 24500.000000, 44500.000000
71.966696, 268000.000000, 4600.000000, 24600.000000, 44600.000000
71.987478, 268000.000000, 4700.000000, 24700.000000, 44700.000000
72.008259, 268000.000000, 4800.000000, 24800.000000, 44800.000000
72.029040, 268000.000000, 4900.000000, 24900.000000, 44900.000000
72.049822, 268000.000000, 5000.000000, 25000.000000, 45000.000000
72.070603, 268000.000000, 5100.000000, 25100.000000, 45100.000000
72.091384, 268000.000000, 5200.000000, 25200.000000, 45200.000000
72.112166, 268000.000000, 5300.000000, 25300.000000, 45300.000000
72.132947, 268000.000000, 5400.000000, 25400.000000, 45400.000000
72.153729, 268000.000000, 5500.000000, 25500.000000, 45500.000000
72.174510, 268000.000000, 5600.000000, 25600.000000, 45600.000000
72.195291, 268000.000000, 5700.000000, 25700.000000, 45700.000000
72.216073, 268000.000000, 5800.000000, 25800.000000, 45800.000000
72.236854, 268000.000000, 5900.000000, 25900.000000, 45900.000000
72.257635, 268000.000000, 6000.000000, 26000.000000, 46000.000000
72.278417, 268000.000000, 6100.000000, 26100.000000, 46100.000000
72.299198, 268000.000000, 6200.000000, 26200.000000, 46200.000000
72.319980, 268000.000000, 6300.000000, 26300.000000, 46300.000000
72.340761, 268000.000000, 6400.000000, 26400.000000, 46400.000000
72.361542, 268000.000000, 6500.000000, 26500.000000, 46500.000000
72.382324, 268000.000000, 6600.000000, 26600.000000, 46600.000000
72.403105, 268000.000000, 6700.000000, 26700.000000, 46700.000000
72.423887, 268000.000000, 6800.000000, 26800.000000, 46800.000000
72.444668, 268000.000000, 6900.000000, 26900.000000, 46900.000000
72.465449, 268000.000000, 7000.000000, 27000.000000, 47000.000000
72.486231, 268000.000000, 7100.000000, 27100.000000, 47100.000000
72.507012, 268000.000000, 7200.000000, 27200.000000, 47200.000000
72.527793, 268000.000000, 7300.000000, 27300.000000, 47300.000000
72.548575, 268000.000000, 7400.000000, 27400.000000, 47400.000000
72.569356, 268000.000000, 7500.000000, 27500.000000, 47500.000000
72.590138, 268000.000000, 7600.000000, 27600.000000, 47600.000000
72.610919, 268000.000000, 7700.000000, 27700.000000, 47700.000000
72.631700, 268000.000000, 7800.000000, 27800.000000, 47800.000000
72.652482, 268000.000000, 7900.000000, 27900.000000, 47900.000000
72.673263, 268000.000000, 8000.000000, 28000.000000, 48000.000000
72.694044, 268000.000000, 8100.000000, 28100.000000, 48100.000000
72.714826, 268000.000000, 8200.000000, 28200.000000, 48200.000000
72.735607, 268000.000000, 8300.000000, 28300.000000, 48300.000000
72.756389, 268000.000000, 8400.000000, 28400.000000, 48400.000000
72.777170, 268000.000000, 8500.000000, 28500.000000, 48500.000000
72.797951, 268000.000000, 8600.000000, 28600.000000, 48600.000000
72.818733, 268000.000000, 8700.000000, 28700.000000, 48700.000000
72.839514, 268000.000000, 8800.000000, 28800.000000, 48800.000000
72.860295, 268000.000000, 8900.000000, 28900.000000, 48900.000000
72.881077, 268000.000000, 9000.000000, 29000.000000, 49000.000000
72.901858, 268000.000000, 9100.000000, 29100.000000, 49100.000000
72.922640, 268000.000000, 9200.000000, 29200.000000, 49200.000000
72.943421, 268000.000000, 9300.000000, 29300.000000, 49300.000000
72.964202, 268000.000000, 9400.000000, 29400.000000, 49400.000000
72.984984, 268000.000000, 9500.000000, 29500.000000, 49500.000000
